,PTT_Ratio
AFG,0.25605277449525177
THA,4.535328625059509
URY,0.9617661809369344
KEN,0.32677596625326355
MUS,1.3564555090025396
VUT,0.38050383709635627
SRB,6.468638419378545
NGA,80.90865802452628
EGY,9.9405991759984
PNG,2.4503823855829205
KHM,0.8990991116809587
MLI,0.15336002311708624
RUS,5.305061757176113
IRQ,45.65740034140161
COL,1.1528031362205018
GHA,0.6725910767729556
JAM,4.501524441351013
SYR,21.2072951312882
MOZ,1.3565554884814908
GMB,1.6956415263663058
HND,1.8379863339939602
MAR,3.8474531487210624
AGO,2.3278727081007946
KGZ,1.9210778815953027
SLV,2.31415717310214
ZWE,1.446371158433067
COD,0.3900752671245851
VEN,6.2006487744195615
PRY,0.4034864792765476
ATG,0.9750959888874285
PAN,0.8279902568698908
TGO,2.7539729814143694
AZE,5.166008502868839
TUN,5.486310334177005
NPL,1.6471580209487244
TKM,24.701766396128434
DZA,21.374409420841168
SYC,2.661807146412773
SUR,3.719961693172306
GEO,2.1472658825549655
HTI,1.9876156663336488
LAO,0.9974387755957302
SEN,4.062572185504958
BWA,2.894435186517423
MDG,0.9848211404961217
PER,1.6289574952882326
VNM,3.055043886015518
LSO,0.38355209949487945
IRN,10.43064177140506
GIN,1.2863417649213662
PAK,4.662640687337586
BHS,1.2322628007629894
COG,2.396529731509863
LBY,11.530752240067333
MMR,0.8198297943505922
RWA,0.21679966824367805
MDV,0.864755039839339
BRB,1.7758305974983566
MRT,5.4063614389671
ECU,2.742280713625637
MEX,3.1268856868621917
LBR,1.539084585919201
ABW,2.576545187268976
NAM,1.306267344369162
NIC,2.6710897773046525
DJI,1.059483898313179
ETH,0.9133764940944372
MNG,7.450772999201921
ZMB,0.424309167656199
CPV,0.7071002704436989
ZAF,3.5906730257587696
LKA,0.4240612051403992
MYS,2.818839955823405
CAF,0.9785394760829734
BRA,1.5609073451398199
STP,1.2077302360282303
BIH,5.738380166950892
PSE,1.3727052921006577
BOL,1.2188333789701318
GAB,2.8018150279295604
ARM,2.714173984681739
TCD,0.17955462583374868
KAZ,5.248236989875909
UGA,0.770021924292499
FJI,1.5984450225457214
BFA,1.4699358486384182
TZA,2.0920451305218566
TUR,1.6505348691162778
BLR,7.940742188393006
CHL,1.1595224630416165
TJK,5.572376007671922
SWZ,0.7231070161286154
BTN,1.2455468668379246
GUY,0.07209866082474185
UZB,7.697585965913543
SLE,3.3510894074312216
ERI,0.3600569608672309
CRI,1.0334946341167623
WSM,0.6316209907359056
DOM,1.7632405727837352
NER,1.0067007595123094
UKR,7.041340400512492
MKD,2.4882867101824493
GTM,1.0694333780891547
LBN,2.549872883157971
CUB,1.6458202504123627
SUD,0.0
BDI,0.6546963055699049
ARG,1.7944926241501555
MDA,84.15338869024228
ALB,1.3906925294569472
MWI,1.455011621064879
BLZ,2.8464661895169034
IDN,3.0515641320327282
JOR,3.743185667312156
PHL,2.0348314185592917
PRK,29.622760638767023
MNE,2.2100160506012116
CIV,2.211749732966171
SOM,1.4670359451952308
YEM,6.931765257573692
BGD,1.3873502145393268
BEN,3.4435617184598573
CMR,3.511672275935814
