Region,Sector,Share of Indicrect CO2 produced in the global south
DNK,Others,0.0417584129657906
DNK,Re-export & Re-import,0.10006136180036994
EST,Agriculture,0.07955398936083753
EST,Fishing,0.2719579342136305
EST,Mining and Quarrying,0.0907526146532016
EST,Food & Beverages,0.044964044510359104
EST,Textiles and Wearing Apparel,0.090773563286892
EST,Wood and Paper,0.04283010785960693
EST,"Petroleum, Chemical and Non-Metallic Mineral Products",0.08692128513317202
EST,Metal Products,0.18773654294619596
EST,Electrical and Machinery,0.11613508831148434
EST,Transport Equipment,0.1017674305439649
EST,Other Manufacturing,0.07992733152970755
EST,Recycling,0.28113718355295897
EST,"Electricity, Gas and Water",0.18153139751279646
EST,Construction,0.07981358627205279
EST,Maintenance and Repair,0.07100468742982352
EST,Wholesale Trade,0.056613121064554586
EST,Retail Trade,0.08194289512205839
EST,Hotels and Restraurants,0.029531422679762304
EST,Transport,0.20183753396429088
EST,Post and Telecommunications,0.053344007520094966
EST,Finacial Intermediation and Business Activities,0.06687969075480818
EST,Public Administration,0.07421267477322697
EST,"Education, Health and Other Services",0.03228229650324487
EST,Private Households,0.6733786555617112
EST,Others,0.06172719498032643
EST,Re-export & Re-import,0.5013810116055484
FIN,Agriculture,0.020237340999768268
FIN,Fishing,0.05560702172637374
FIN,Mining and Quarrying,0.06136126851468825
FIN,Food & Beverages,0.021367468444131635
FIN,Textiles and Wearing Apparel,0.07830195452292034
FIN,Wood and Paper,0.04937121368357425
FIN,"Petroleum, Chemical and Non-Metallic Mineral Products",0.5333895959832881
FIN,Metal Products,0.07891981579922473
FIN,Electrical and Machinery,0.026564939371579756
FIN,Transport Equipment,0.029434551259421696
FIN,Other Manufacturing,0.044748876242520184
FIN,Recycling,0.03106676042802975
FIN,"Electricity, Gas and Water",0.45376168597146405
FIN,Construction,0.013872597333339415
FIN,Maintenance and Repair,0.028797860560346618
FIN,Wholesale Trade,0.020154245281233506
FIN,Retail Trade,0.03428982329458721
FIN,Hotels and Restraurants,0.015711779838808188
FIN,Transport,0.0489347586123443
FIN,Post and Telecommunications,0.012181275947496949
FIN,Finacial Intermediation and Business Activities,0.016289118439851747
FIN,Public Administration,0.022608445332686713
FIN,"Education, Health and Other Services",0.02651848375176609
FIN,Private Households,0.7371211335320947
FIN,Others,0.12522706519138146
FIN,Re-export & Re-import,0.5399495553660175
FRA,Agriculture,0.04100374933181516
FRA,Fishing,0.07170659172977456
FRA,Mining and Quarrying,0.06734168494678593
FRA,Food & Beverages,0.036350253951390514
FRA,Textiles and Wearing Apparel,0.10240759173577595
FRA,Wood and Paper,0.035569081814277606
FRA,"Petroleum, Chemical and Non-Metallic Mineral Products",0.3297201248715594
FRA,Metal Products,0.07664045069892392
FRA,Electrical and Machinery,0.04177304750071511
FRA,Transport Equipment,0.03312031896406143
FRA,Other Manufacturing,0.05481734684978361
FRA,Recycling,0.27715618804909503
FRA,"Electricity, Gas and Water",0.31082846405279013
FRA,Construction,0.03572903385410313
FRA,Maintenance and Repair,0.039129159187555336
FRA,Wholesale Trade,0.04996792802987262
FRA,Retail Trade,0.052785444379237406
FRA,Hotels and Restraurants,0.0416809800909871
FRA,Transport,0.050731282404631844
FRA,Post and Telecommunications,0.03692343360110464
FRA,Finacial Intermediation and Business Activities,0.02976946054433212
FRA,Public Administration,0.02867469358634562
FRA,"Education, Health and Other Services",0.03918063942844408
FRA,Private Households,0.7240736113678986
FRA,Others,0.045953438958553854
FRA,Re-export & Re-import,0.3201442544896384
DEU,Agriculture,0.040401952021722067
DEU,Fishing,0.05061755657196381
DEU,Mining and Quarrying,0.03548327927250955
DEU,Food & Beverages,0.064976885117093
DEU,Textiles and Wearing Apparel,0.10663264388209887
DEU,Wood and Paper,0.030488911508701932
DEU,"Petroleum, Chemical and Non-Metallic Mineral Products",0.1458316608499398
DEU,Metal Products,0.07432321917544744
DEU,Electrical and Machinery,0.03744912236191563
DEU,Transport Equipment,0.027084904507285127
DEU,Other Manufacturing,0.076946560163895
DEU,Recycling,0.008100767819859052
DEU,"Electricity, Gas and Water",0.026623334049906248
DEU,Construction,0.04119556373543746
DEU,Maintenance and Repair,0.034994934084347847
DEU,Wholesale Trade,0.040664466436556385
DEU,Retail Trade,0.027909558034392264
DEU,Hotels and Restraurants,0.04141171320802123
DEU,Transport,0.04756637922635023
DEU,Post and Telecommunications,0.04489803451809344
DEU,Finacial Intermediation and Business Activities,0.03413050139714032
DEU,Public Administration,0.04527021566686205
DEU,"Education, Health and Other Services",0.03096354358283179
DEU,Private Households,0.6210831878941917
DEU,Others,0.6210831853156175
DEU,Re-export & Re-import,0.22093029167347927
GRC,Agriculture,0.016311741647859986
GRC,Fishing,0.06562622431971564
GRC,Mining and Quarrying,0.03936824778163715
GRC,Food & Beverages,0.01900930017593027
GRC,Textiles and Wearing Apparel,0.049973658859990895
GRC,Wood and Paper,0.03146572242968075
GRC,"Petroleum, Chemical and Non-Metallic Mineral Products",0.4951364386759114
GRC,Metal Products,0.039952373490873494
GRC,Electrical and Machinery,0.04186395454896166
GRC,Transport Equipment,0.0442209945593926
GRC,Other Manufacturing,0.031947940031743956
GRC,Recycling,0.14165810319838337
GRC,"Electricity, Gas and Water",0.1359994552072563
GRC,Construction,0.02938987950250962
GRC,Maintenance and Repair,0.011703003331864354
GRC,Wholesale Trade,0.14824857070414277
GRC,Retail Trade,0.039359704703391445
GRC,Hotels and Restraurants,0.01631905314489314
GRC,Transport,0.13583115475614907
GRC,Post and Telecommunications,0.045807050447926656
GRC,Finacial Intermediation and Business Activities,0.03243934314672405
GRC,Public Administration,0.0489420117465519
GRC,"Education, Health and Other Services",0.02643985892503381
GRC,Private Households,0.7202560645561368
GRC,Others,0.06412964797638142
GRC,Re-export & Re-import,0.5053474601456273
HUN,Agriculture,0.02073320159072277
HUN,Fishing,0.1387657626959652
HUN,Mining and Quarrying,0.06343766795753422
HUN,Food & Beverages,0.018130271055396083
HUN,Textiles and Wearing Apparel,0.0821690442663547
HUN,Wood and Paper,0.03232122497598231
HUN,"Petroleum, Chemical and Non-Metallic Mineral Products",0.2525481879389472
HUN,Metal Products,0.05470051920564258
HUN,Electrical and Machinery,0.06231836385997306
HUN,Transport Equipment,0.03936703839955227
HUN,Other Manufacturing,0.056569381284651526
HUN,Recycling,0.043477811117044164
HUN,"Electricity, Gas and Water",0.3378126664472922
HUN,Construction,0.03079709503015947
HUN,Maintenance and Repair,0.03109499094298733
HUN,Wholesale Trade,0.05655486245110576
HUN,Retail Trade,0.03439287271611358
HUN,Hotels and Restraurants,0.00933917203163594
HUN,Transport,0.07193279931715192
HUN,Post and Telecommunications,0.025802790453278247
HUN,Finacial Intermediation and Business Activities,0.028244369689655872
HUN,Public Administration,0.03358012148650354
HUN,"Education, Health and Other Services",0.0182792161774711
HUN,Private Households,0.6571858865168124
HUN,Others,0.02556774353328666
HUN,Re-export & Re-import,0.25706126577593985
IRL,Agriculture,0.015196861761692094
IRL,Fishing,0.05170740890361274
IRL,Mining and Quarrying,0.08149609664098713
IRL,Food & Beverages,0.010675963198389671
IRL,Textiles and Wearing Apparel,0.058313660231934863
IRL,Wood and Paper,0.043003368217015905
IRL,"Petroleum, Chemical and Non-Metallic Mineral Products",0.04215270218771006
IRL,Metal Products,0.023485097605909937
IRL,Electrical and Machinery,0.037177794335259175
IRL,Transport Equipment,0.02483356006472467
IRL,Other Manufacturing,0.0931919382745144
IRL,Recycling,0.06509036789006853
IRL,"Electricity, Gas and Water",0.008556180380015427
IRL,Construction,0.011215106786784862
IRL,Maintenance and Repair,0.017770883504720947
IRL,Wholesale Trade,0.02141033513415152
IRL,Retail Trade,0.019702644140436185
IRL,Hotels and Restraurants,0.009223660630482838
IRL,Transport,0.017375203218362497
IRL,Post and Telecommunications,0.034369562108643024
IRL,Finacial Intermediation and Business Activities,0.02576118523989684
IRL,Public Administration,0.0064517553160441995
IRL,"Education, Health and Other Services",0.012720339539866428
IRL,Private Households,0.6312843980364655
IRL,Others,0.019635349074824386
IRL,Re-export & Re-import,0.05004502709062715
ITA,Agriculture,0.014702279808202304
ITA,Fishing,0.013400469416975197
ITA,Mining and Quarrying,0.03685134683482435
ITA,Food & Beverages,0.03517425170260491
ITA,Textiles and Wearing Apparel,0.07707419742740054
ITA,Wood and Paper,0.03979668825041624
ITA,"Petroleum, Chemical and Non-Metallic Mineral Products",0.20633963702300445
ITA,Metal Products,0.07880407870172751
ITA,Electrical and Machinery,0.034036529619719834
ITA,Transport Equipment,0.03021160728640954
ITA,Other Manufacturing,0.07921979688402767
ITA,Recycling,0.06888742643692648
ITA,"Electricity, Gas and Water",0.20984931630103398
ITA,Construction,0.014984077308481983
ITA,Maintenance and Repair,0.01382793877832172
ITA,Wholesale Trade,0.029887205844160138
ITA,Retail Trade,0.02509986093517449
ITA,Hotels and Restraurants,0.019563785072344204
ITA,Transport,0.054943487663206385
ITA,Post and Telecommunications,0.04002966477708469
ITA,Finacial Intermediation and Business Activities,0.04439312081624051
ITA,Public Administration,0.01748758329832076
ITA,"Education, Health and Other Services",0.02055583815605661
ITA,Private Households,0.12278475353694905
ITA,Others,0.016130076488138283
ITA,Re-export & Re-import,0.2793786046326191
LVA,Agriculture,0.09168450775488346
LVA,Fishing,0.20722928484780187
LVA,Mining and Quarrying,0.136651483808597
LVA,Food & Beverages,0.0737717739957495
LVA,Textiles and Wearing Apparel,0.12299292608738364
LVA,Wood and Paper,0.10102659332131242
LVA,"Petroleum, Chemical and Non-Metallic Mineral Products",0.3510785723497601
LVA,Metal Products,0.30812489720437947
LVA,Electrical and Machinery,0.1173865101913586
LVA,Transport Equipment,0.13514433717257934
LVA,Other Manufacturing,0.13680947710262664
LVA,Recycling,0.3599560305809782
LVA,"Electricity, Gas and Water",0.4965136827488472
LVA,Construction,0.12284723443246388
LVA,Maintenance and Repair,0.10862471017650029
LVA,Wholesale Trade,0.05578627112096957
LVA,Retail Trade,0.1607496272718041
LVA,Hotels and Restraurants,0.06155636855812181
LVA,Transport,0.1919976650055072
LVA,Post and Telecommunications,0.14808911637135724
LVA,Finacial Intermediation and Business Activities,0.14697226891088402
LVA,Public Administration,0.04812337442539699
LVA,"Education, Health and Other Services",0.13465082721065544
LVA,Private Households,0.6409097105550755
LVA,Others,0.15639627877459258
LVA,Re-export & Re-import,0.5003203994487613
LTU,Agriculture,0.2539607164679182
LTU,Fishing,0.22201128651137303
LTU,Mining and Quarrying,0.4269329661033472
LTU,Food & Beverages,0.1457347054266234
LTU,Textiles and Wearing Apparel,0.11515152109688372
LTU,Wood and Paper,0.12143618458116551
LTU,"Petroleum, Chemical and Non-Metallic Mineral Products",0.8021068586365387
LTU,Metal Products,0.29646615925132525
LTU,Electrical and Machinery,0.1716705499984883
LTU,Transport Equipment,0.18522956338323526
LTU,Other Manufacturing,0.12019467305213112
LTU,Recycling,0.15740420407147768
LTU,"Electricity, Gas and Water",0.5091475595121662
LTU,Construction,0.29163795712283347
LTU,Maintenance and Repair,0.11559461046124075
LTU,Wholesale Trade,0.10368986008031787
LTU,Retail Trade,0.16292662610674608
LTU,Hotels and Restraurants,0.11117113700072791
LTU,Transport,0.1811422886132593
LTU,Post and Telecommunications,0.20409111452245968
LTU,Finacial Intermediation and Business Activities,0.15373656218270598
LTU,Public Administration,0.145064299232503
LTU,"Education, Health and Other Services",0.12506004772849114
LTU,Private Households,0.6647217849901879
LTU,Others,0.10728556456786073
LTU,Re-export & Re-import,0.7555311769660591
LUX,Agriculture,0.032350562942244525
LUX,Fishing,0.6523177100416389
LUX,Mining and Quarrying,0.07762727573502927
LUX,Food & Beverages,0.008783279395228247
LUX,Textiles and Wearing Apparel,0.018490127135120247
LUX,Wood and Paper,0.009405944630735033
LUX,"Petroleum, Chemical and Non-Metallic Mineral Products",0.007812893660365888
LUX,Metal Products,0.01195264966161521
LUX,Electrical and Machinery,0.007927012583801345
LUX,Transport Equipment,0.008068623368165218
LUX,Other Manufacturing,0.07663879575690763
LUX,Recycling,0.6529651333726298
LUX,"Electricity, Gas and Water",0.01694658871493966
LUX,Construction,0.007475904447099519
LUX,Maintenance and Repair,0.04602094346646412
LUX,Wholesale Trade,0.016684761254278736
LUX,Retail Trade,0.017022175579416047
LUX,Hotels and Restraurants,0.018315408006693488
LUX,Transport,0.03318744829901563
LUX,Post and Telecommunications,0.024401812292652092
LUX,Finacial Intermediation and Business Activities,0.0015412150860856057
LUX,Public Administration,0.030626540998987036
LUX,"Education, Health and Other Services",0.011741413385129136
LUX,Private Households,0.651219052862776
LUX,Others,0.14474297968829292
LUX,Re-export & Re-import,0.45452278079356434
MLT,Agriculture,0.06835610269793022
MLT,Fishing,0.1831598009828123
MLT,Mining and Quarrying,0.2784002089044788
MLT,Food & Beverages,0.04014390938579272
MLT,Textiles and Wearing Apparel,0.10617209951435219
MLT,Wood and Paper,0.10146113185049954
MLT,"Petroleum, Chemical and Non-Metallic Mineral Products",0.05936140929421715
MLT,Metal Products,0.15161553916632708
MLT,Electrical and Machinery,0.03290232001734536
MLT,Transport Equipment,0.1083204419446735
MLT,Other Manufacturing,0.07315725186337642
MLT,Recycling,0.4253462059875577
MLT,"Electricity, Gas and Water",0.0866804666954904
MLT,Construction,0.030333815467265064
MLT,Maintenance and Repair,0.0587539143811763
MLT,Wholesale Trade,0.047591998012075344
MLT,Retail Trade,0.21550179437687383
MLT,Hotels and Restraurants,0.030034927149283297
MLT,Transport,0.05836065099207171
MLT,Post and Telecommunications,0.04458574188860398
MLT,Finacial Intermediation and Business Activities,0.09900373033248869
MLT,Public Administration,0.027579955787647617
MLT,"Education, Health and Other Services",0.057047766284223304
MLT,Private Households,0.6111705945614186
MLT,Others,0.33725206810103947
MLT,Re-export & Re-import,0.6226234311784248
NLD,Agriculture,0.01928776998366024
NLD,Fishing,0.11201761055997737
NLD,Mining and Quarrying,0.1029311227870667
NLD,Food & Beverages,0.06383484172564588
NLD,Textiles and Wearing Apparel,0.07910589688228367
NLD,Wood and Paper,0.03549093485435034
NLD,"Petroleum, Chemical and Non-Metallic Mineral Products",0.1514534163349497
NLD,Metal Products,0.06742678080500937
NLD,Electrical and Machinery,0.04647481665340019
NLD,Transport Equipment,0.030203658120672053
NLD,Other Manufacturing,0.059047338692640096
NLD,Recycling,0.06252470034473262
NLD,"Electricity, Gas and Water",0.012773605226125655
NLD,Construction,0.02732417973466947
NLD,Maintenance and Repair,0.023481396544729822
NLD,Wholesale Trade,0.055147416830480654
NLD,Retail Trade,0.025768318833697304
NLD,Hotels and Restraurants,0.03696120479880537
NLD,Transport,0.10379625582077034
NLD,Post and Telecommunications,0.059165572418917366
NLD,Finacial Intermediation and Business Activities,0.024122534854890035
NLD,Public Administration,0.010604245043351154
NLD,"Education, Health and Other Services",0.01970539994053495
NLD,Private Households,0.6935323717986945
NLD,Others,0.036901344591334706
NLD,Re-export & Re-import,0.2084590843582498
POL,Agriculture,0.016454624749937967
POL,Fishing,0.06477243847002048
POL,Mining and Quarrying,0.008625304138081833
POL,Food & Beverages,0.023541767548409503
POL,Textiles and Wearing Apparel,0.06678687626346357
POL,Wood and Paper,0.04704758532503883
POL,"Petroleum, Chemical and Non-Metallic Mineral Products",0.12400126924631588
POL,Metal Products,0.060202987309233714
POL,Electrical and Machinery,0.04265400005746297
POL,Transport Equipment,0.030073593803649202
POL,Other Manufacturing,0.05727560584398403
POL,Recycling,0.028136983753104798
POL,"Electricity, Gas and Water",0.0695250672221134
POL,Construction,0.04879402670912546
POL,Maintenance and Repair,0.04357250299654199
POL,Wholesale Trade,0.08975395735498383
POL,Retail Trade,0.05593394451659764
POL,Hotels and Restraurants,0.003913557746226605
POL,Transport,0.12574866442895458
POL,Post and Telecommunications,0.029202073111421898
POL,Finacial Intermediation and Business Activities,0.0133240634854954
POL,Public Administration,0.006719457426027742
POL,"Education, Health and Other Services",0.009733428044429122
POL,Private Households,0.016850667669957204
POL,Others,0.029549064935364952
POL,Re-export & Re-import,0.2819021439442117
PRT,Agriculture,0.031369217241969984
PRT,Fishing,0.042349936492215065
PRT,Mining and Quarrying,0.042546561713957175
PRT,Food & Beverages,0.03408422699695332
PRT,Textiles and Wearing Apparel,0.03110017620582124
PRT,Wood and Paper,0.026929261618225387
PRT,"Petroleum, Chemical and Non-Metallic Mineral Products",0.16009047352534822
PRT,Metal Products,0.050435970998576614
PRT,Electrical and Machinery,0.030940951463547653
PRT,Transport Equipment,0.02695481069430295
PRT,Other Manufacturing,0.03450560277873006
PRT,Recycling,0.05528834911817082
PRT,"Electricity, Gas and Water",0.02900960156270651
PRT,Construction,0.013418412491875581
PRT,Maintenance and Repair,0.021378594596455563
PRT,Wholesale Trade,0.01947738302210559
PRT,Retail Trade,0.021180586510196216
PRT,Hotels and Restraurants,0.0263850720193083
PRT,Transport,0.028291639886572052
PRT,Post and Telecommunications,0.015798451180788237
PRT,Finacial Intermediation and Business Activities,0.020624900092764617
PRT,Public Administration,0.01666980170999619
PRT,"Education, Health and Other Services",0.02387281783296935
PRT,Private Households,0.6652554648131058
PRT,Others,0.031146249194092795
PRT,Re-export & Re-import,0.5559664973043218
ROU,Agriculture,0.04041253236232303
ROU,Fishing,0.29998499728773576
ROU,Mining and Quarrying,0.13977226572455442
ROU,Food & Beverages,0.031035879353547208
ROU,Textiles and Wearing Apparel,0.08511760933850361
ROU,Wood and Paper,0.04802597225313426
ROU,"Petroleum, Chemical and Non-Metallic Mineral Products",0.3211145261410034
ROU,Metal Products,0.06339904305312419
ROU,Electrical and Machinery,0.060773766183825156
ROU,Transport Equipment,0.046470349144862345
ROU,Other Manufacturing,0.0639282534688294
ROU,Recycling,0.606144643859854
ROU,"Electricity, Gas and Water",0.24264559242054506
ROU,Construction,0.05901872233872574
ROU,Maintenance and Repair,0.0662002338782599
ROU,Wholesale Trade,0.06699005633063804
ROU,Retail Trade,0.061287287558916104
ROU,Hotels and Restraurants,0.04919851073530632
ROU,Transport,0.09536505491650432
ROU,Post and Telecommunications,0.047271945464618256
ROU,Finacial Intermediation and Business Activities,0.050054084344267426
ROU,Public Administration,0.03424566581023814
ROU,"Education, Health and Other Services",0.08106938969319513
ROU,Private Households,0.7016230495845063
ROU,Others,0.7031051103727733
ROU,Re-export & Re-import,0.558303729425552
SVK,Agriculture,0.012370012696338587
SVK,Fishing,0.575735699794972
SVK,Mining and Quarrying,0.2981292508539476
SVK,Food & Beverages,0.027119366411312032
SVK,Textiles and Wearing Apparel,0.07027345649726856
SVK,Wood and Paper,0.05846604794997306
SVK,"Petroleum, Chemical and Non-Metallic Mineral Products",0.5702251658573899
SVK,Metal Products,0.08929053721219525
SVK,Electrical and Machinery,0.06362014281960694
SVK,Transport Equipment,0.11295837704382196
SVK,Other Manufacturing,0.06832199113803042
SVK,Recycling,0.05671782420749308
