region,sector,CO2 shares,Sectoral CO2 share,Embodied CO2,Embodied value added
GHA,Agriculture,2.946048412566849e-06,0.35317963550986736,24.511302427728715,515571.6319173043
GHA,Fishing,4.783684258459298e-07,0.08961886544816441,3.9800544715318855,12004.895121108864
GHA,Mining and Quarrying,5.095160059582438e-07,0.05977449725835483,4.239204237288668,17149.542361411037
GHA,Food & Beverages,3.7031244346932648e-06,0.165676724036491,30.81022109449768,60939.709665274226
GHA,Textiles and Wearing Apparel,1.4557137571273017e-07,0.019663232781367303,1.2111627221381536,2068.513098901496
GHA,Wood and Paper,3.759025583321637e-06,0.27129900407318036,31.275322059655824,115915.75507831517
GHA,"Petroleum, Chemical and Non-Metallic Mineral Products",5.992619394731412e-06,0.04583393472603371,49.858958763869666,19066.412672748043
GHA,Metal Products,5.073107724257091e-07,0.047400003591719045,4.220856559833961,12622.715756481966
GHA,Electrical and Machinery,3.0589247100044994e-07,0.013157244762931874,2.545044010503725,10198.035686056104
GHA,Transport Equipment,8.103772970412209e-08,0.005315685195938996,0.6742388524103042,1236.9493137246125
GHA,Other Manufacturing,2.1532463485111191e-07,0.025713581678860505,1.7915140913714014,3017.2059606158127
GHA,Recycling,1.2872940809791932e-07,0.0187542839144983,1.071036524644692,245.27227589059166
GHA,"Electricity, Gas and Water",3.3767479800204946e-06,0.012157574376829282,28.09474909083025,13201.910015798914
GHA,Construction,2.3219515591852274e-07,0.007102129175500003,1.93187785533154,18355.66591795502
GHA,Maintenance and Repair,1.6911371453429447e-07,0.030961493802286473,1.4070364166266442,3177.825800879079
GHA,Wholesale Trade,5.342934119844759e-07,0.04967991432967808,4.445353766228163,90297.2186873363
GHA,Retail Trade,3.037971016496196e-08,0.004058736153914941,0.2527610409739761,8018.398558312819
GHA,Hotels and Restraurants,1.7407066289420468e-07,0.02096347627487567,1.4482785292308056,21128.878102684437
GHA,Transport,3.648676021892461e-05,0.07985426324109553,303.5720698000542,97996.35330684003
GHA,Post and Telecommunications,1.8046842968141883e-07,0.029079443455737628,1.501508339003976,30495.3215575975
GHA,Finacial Intermediation and Business Activities,6.756108138650545e-07,0.03541482710714674,5.621123166696948,66598.29067153159
GHA,Public Administration,1.507654848678725e-08,0.0017186132847126715,0.12543780270195154,850.201429173928
GHA,"Education, Health and Other Services",9.142531291608713e-08,0.008508933706191591,0.7606641781162834,10619.149265327107
GHA,Private Households,1.220780410073067e-07,0.022579423267706275,1.015696744883979,322.75253413092025
GHA,Others,2.2267900486507704e-07,0.04053551557870128,1.85270289831998,247.79684957384723
GHA,Re-export & Re-import,0.0,,0.0,0.3397112195377262
HND,Agriculture,1.5196256503114952e-06,0.16179547643585712,12.643378069698908,68627.49287598603
HND,Fishing,1.0998254021334673e-07,0.03241674294737335,0.9150614407556024,2221.3151687029276
HND,Mining and Quarrying,7.05162433150579e-07,0.10269191418226559,5.866994441061198,4720.778102533004
HND,Food & Beverages,1.3813724438571718e-06,0.059823300646821585,11.493102962015746,8702.196428589901
HND,Textiles and Wearing Apparel,1.0079768252063117e-07,0.004482983146672625,0.8386428647059145,1305.6464265526686
HND,Wood and Paper,5.2315071158342e-07,0.03531948206427411,4.35264581946571,7058.527851581051
HND,"Petroleum, Chemical and Non-Metallic Mineral Products",2.1158324858847942e-06,0.017560673196069746,17.603855295354364,5812.003325683614
HND,Metal Products,2.8208039511328017e-07,0.01600800826128041,2.3469260871821906,3162.9423123050897
HND,Electrical and Machinery,3.223456044441065e-07,0.008879183188021868,2.681935083984035,4522.0348099117155
HND,Transport Equipment,1.0905460140248274e-07,0.00578382815205807,0.9073409332681857,729.7455979451667
HND,Other Manufacturing,5.3221803477815135e-08,0.006568828198125382,0.4428086501325509,634.615149103713
HND,Recycling,7.789718787351574e-08,0.016099535797668426,0.6481093528852593,100.79307580559892
HND,"Electricity, Gas and Water",5.371778587605723e-06,0.015665083214722247,44.693525392843,2359.42783855182
HND,Construction,1.380271386097193e-07,0.006459582180550716,1.148394209431577,5359.631607682179
HND,Maintenance and Repair,7.915677505146529e-08,0.02326800314469686,0.6585891950090723,1071.1983679736672
HND,Wholesale Trade,8.984180391365581e-08,0.020208639598732127,0.7474892866616631,16620.413760220847
HND,Retail Trade,1.3152203735017243e-08,0.003345014658486203,0.1094271370303884,2653.018096026528
HND,Hotels and Restraurants,6.286676610142418e-08,0.01566684040928811,0.5230553272621502,6054.105805680387
HND,Transport,1.76639106387938e-05,0.03972172297550633,146.9648135709396,16284.595603099404
HND,Post and Telecommunications,7.8169055479873e-08,0.020503657748693227,0.6503713079472669,7663.529134782575
HND,Finacial Intermediation and Business Activities,2.525305398386805e-07,0.01112233389505911,2.101069489496394,14415.879408064013
HND,Public Administration,5.907077676255501e-09,0.0013279988772916375,0.04914724645024757,1072.2687894893415
HND,"Education, Health and Other Services",2.934572629378634e-08,0.005454260735966001,0.2441582321186739,6254.782584183729
HND,Private Households,8.804148869136567e-08,0.026063631856524615,0.7325105542380674,495.07086802512816
HND,Others,5.4910899298645274e-08,0.01601436716976083,0.4568620303544011,250.36541345860684
HND,Re-export & Re-import,0.0,,0.0,0.141332094761194
VEN,Agriculture,2.37507759556854e-08,0.00023732893622258904,0.19760790415382298,569.9240807342875
VEN,Fishing,9.53277154681739e-10,0.00016266346288148662,0.007931324052984695,68.63129358588262
VEN,Mining and Quarrying,1.7613958467132707e-05,0.0145309735737244,146.54920845688784,41227.27822337087
VEN,Food & Beverages,3.117335125940444e-07,0.00024683362493539793,2.593641832719684,509.1437181542454
