region,sector,0
TGO,Agriculture,0.00024315833460591952
TGO,Fishing,1.2372653019520775e-05
TGO,Mining and Quarrying,2.9145452923673834e-06
TGO,Food & Beverages,4.918016532494275e-06
TGO,Textiles and Wearing Apparel,1.4552508783032481e-06
TGO,Wood and Paper,4.48350735369093e-06
TGO,"Petroleum, Chemical and Non-Metallic Mineral Products",3.8693391271244585e-06
TGO,Metal Products,4.258589108526474e-06
TGO,Electrical and Machinery,3.9698554509487056e-06
TGO,Transport Equipment,8.73086044997254e-07
TGO,Other Manufacturing,3.991181601960336e-06
TGO,Recycling,1.7807460393026672e-07
TGO,"Electricity, Gas and Water",2.6411040700449043e-06
TGO,Construction,1.0027358161132492e-05
TGO,Maintenance and Repair,2.417750147265167e-06
TGO,Wholesale Trade,1.4622751352030157e-05
TGO,Retail Trade,3.937323585924352e-06
TGO,Hotels and Restraurants,4.110043465896955e-06
TGO,Transport,3.661472091680327e-05
TGO,Post and Telecommunications,1.367222639316278e-05
TGO,Finacial Intermediation and Business Activities,2.0968963172572267e-05
TGO,Public Administration,2.651503269188121e-06
TGO,"Education, Health and Other Services",7.598637977097164e-06
TGO,Private Households,1.4189978209996977e-06
TGO,Others,2.3169290347047566e-07
TGO,Re-export & Re-import,4.629163107335424e-10
GMB,Agriculture,6.809082186165441e-06
GMB,Fishing,2.6880482251781593e-06
GMB,Mining and Quarrying,3.8931215913782987e-07
GMB,Food & Beverages,1.3825337197150687e-06
GMB,Textiles and Wearing Apparel,5.49952231796334e-07
GMB,Wood and Paper,5.223284264525935e-07
GMB,"Petroleum, Chemical and Non-Metallic Mineral Products",9.034967942798951e-07
GMB,Metal Products,8.23390138653986e-07
GMB,Electrical and Machinery,1.410416052122593e-06
GMB,Transport Equipment,2.9313149534414107e-07
GMB,Other Manufacturing,2.367242088329272e-07
GMB,Recycling,3.322158230007958e-08
GMB,"Electricity, Gas and Water",5.501572502678503e-07
GMB,Construction,5.9526758320042125e-06
GMB,Maintenance and Repair,2.4487874050008696e-06
GMB,Wholesale Trade,9.117107252269871e-06
GMB,Retail Trade,4.828549551759017e-06
GMB,Hotels and Restraurants,4.5697614035124834e-06
GMB,Transport,5.02632384976149e-06
GMB,Post and Telecommunications,3.3830204231779706e-06
GMB,Finacial Intermediation and Business Activities,4.514646280586104e-06
GMB,Public Administration,1.4655316369226465e-06
GMB,"Education, Health and Other Services",2.720038556827593e-06
GMB,Private Households,2.6637306624308313e-07
GMB,Others,4.961694184007258e-08
GMB,Re-export & Re-import,1.4458480193537504e-11
MLI,Agriculture,0.0007638011078156727
MLI,Fishing,1.7871320145192846e-05
MLI,Mining and Quarrying,2.62586776803606e-07
MLI,Food & Beverages,5.277234788553304e-06
MLI,Textiles and Wearing Apparel,9.775196795763874e-06
MLI,Wood and Paper,5.4655205534143735e-06
MLI,"Petroleum, Chemical and Non-Metallic Mineral Products",9.086820726530114e-06
MLI,Metal Products,7.254440143303923e-06
MLI,Electrical and Machinery,1.5268206754754092e-05
MLI,Transport Equipment,1.8143228952522886e-06
MLI,Other Manufacturing,4.916625367605262e-06
MLI,Recycling,3.414147601470596e-07
MLI,"Electricity, Gas and Water",1.1519079835230632e-06
MLI,Construction,9.019876803306509e-06
MLI,Maintenance and Repair,4.464226377179489e-06
MLI,Wholesale Trade,2.588708494675907e-05
MLI,Retail Trade,7.47450554307413e-06
MLI,Hotels and Restraurants,8.911443595822503e-06
MLI,Transport,2.3291051793246444e-05
MLI,Post and Telecommunications,1.1499178226301852e-05
MLI,Finacial Intermediation and Business Activities,1.7963998582776365e-05
MLI,Public Administration,2.170788232397469e-06
MLI,"Education, Health and Other Services",7.02801075109815e-06
MLI,Private Households,1.2550275409727506e-06
MLI,Others,1.5551424474050027e-07
MLI,Re-export & Re-import,6.218949196093609e-10
BFA,Agriculture,0.0004072390366915046
BFA,Fishing,9.344926435576331e-06
BFA,Mining and Quarrying,4.1815930338829035e-06
BFA,Food & Beverages,2.863836828870524e-06
BFA,Textiles and Wearing Apparel,4.330658747287756e-05
BFA,Wood and Paper,7.352515298188839e-06
BFA,"Petroleum, Chemical and Non-Metallic Mineral Products",8.985673422344355e-06
BFA,Metal Products,1.1000094808875113e-05
BFA,Electrical and Machinery,5.22263385299748e-06
BFA,Transport Equipment,1.3642711410738249e-06
BFA,Other Manufacturing,3.036881015905582e-06
BFA,Recycling,1.0885007396532659e-07
BFA,"Electricity, Gas and Water",4.02782871990433e-06
BFA,Construction,4.275057441506189e-06
BFA,Maintenance and Repair,2.2029861007066486e-06
BFA,Wholesale Trade,1.9312746699779398e-05
BFA,Retail Trade,5.8563844974997684e-06
BFA,Hotels and Restraurants,6.815917216503408e-06
BFA,Transport,1.860571100922792e-05
BFA,Post and Telecommunications,6.517827135761489e-06
BFA,Finacial Intermediation and Business Activities,1.3378678889091914e-05
BFA,Public Administration,2.2437317845074395e-06
BFA,"Education, Health and Other Services",8.686659906382083e-06
BFA,Private Households,8.058585344126306e-07
BFA,Others,1.5840839524551152e-07
BFA,Re-export & Re-import,6.246125422445894e-10
MDG,Agriculture,0.0008342664183532526
MDG,Fishing,3.670375882040042e-05
MDG,Mining and Quarrying,1.6958297880309424e-05
MDG,Food & Beverages,3.268280542277749e-05
MDG,Textiles and Wearing Apparel,3.8983364975085056e-05
MDG,Wood and Paper,5.5211366279268984e-05
MDG,"Petroleum, Chemical and Non-Metallic Mineral Products",7.85230972257607e-05
MDG,Metal Products,2.84542742254618e-05
MDG,Electrical and Machinery,3.111620292524137e-05
MDG,Transport Equipment,5.334535334425292e-06
MDG,Other Manufacturing,1.8483111174304896e-05
MDG,Recycling,-1.2299289849436689e-05
MDG,"Electricity, Gas and Water",2.3403294231768994e-05
MDG,Construction,3.79436827194246e-05
MDG,Maintenance and Repair,1.1772946776060786e-05
MDG,Wholesale Trade,0.0001801678471842206
MDG,Retail Trade,1.591277254524641e-05
MDG,Hotels and Restraurants,1.5988500778172863e-05
MDG,Transport,0.00017384418092618748
MDG,Post and Telecommunications,5.036963026645124e-05
MDG,Finacial Intermediation and Business Activities,0.00016542987235111583
MDG,Public Administration,4.259354883225919e-06
MDG,"Education, Health and Other Services",2.135553343654798e-05
MDG,Private Households,1.9721345116076945e-06
MDG,Others,3.2065662507204486e-06
MDG,Re-export & Re-import,2.646848425999457e-10
MWI,Agriculture,0.00021657240592745105
MWI,Fishing,4.9272119425588e-06
MWI,Mining and Quarrying,3.3604408411693457e-07
MWI,Food & Beverages,3.3234451314381233e-06
MWI,Textiles and Wearing Apparel,4.4481531158837097e-07
MWI,Wood and Paper,2.1609000189207542e-06
MWI,"Petroleum, Chemical and Non-Metallic Mineral Products",3.2621819696253682e-06
MWI,Metal Products,1.6209445066189425e-06
MWI,Electrical and Machinery,1.8787193484063045e-06
MWI,Transport Equipment,4.3344391061094146e-07
MWI,Other Manufacturing,4.495846570181731e-07
MWI,Recycling,5.953185261453987e-08
MWI,"Electricity, Gas and Water",1.1168924890796734e-06
MWI,Construction,3.501242710252646e-06
MWI,Maintenance and Repair,1.7348752395077818e-06
MWI,Wholesale Trade,1.2776544232361787e-05
MWI,Retail Trade,2.8615830594540655e-06
MWI,Hotels and Restraurants,2.9450592115056528e-06
MWI,Transport,9.992727236238892e-06
MWI,Post and Telecommunications,5.059170577970482e-06
MWI,Finacial Intermediation and Business Activities,9.494037310162991e-06
MWI,Public Administration,7.764479409143545e-07
MWI,"Education, Health and Other Services",2.278807619106373e-06
MWI,Private Households,3.387938959424868e-07
MWI,Others,7.805363911533204e-08
MWI,Re-export & Re-import,1.3573880851642821e-08
RWA,Agriculture,0.0002465775360179531
RWA,Fishing,2.7066825132529494e-05
RWA,Mining and Quarrying,2.7439307530931505e-06
RWA,Food & Beverages,4.3808969034188093e-07
RWA,Textiles and Wearing Apparel,6.341922790465919e-07
RWA,Wood and Paper,1.2321416909516568e-06
RWA,"Petroleum, Chemical and Non-Metallic Mineral Products",1.707151154223229e-06
RWA,Metal Products,1.8753806107019367e-06
RWA,Electrical and Machinery,2.4318131534865424e-06
RWA,Transport Equipment,5.483076708135955e-07
RWA,Other Manufacturing,4.984959422785457e-07
RWA,Recycling,5.579725255258227e-08
RWA,"Electricity, Gas and Water",1.5655291223810224e-06
RWA,Construction,6.623533483726413e-06
RWA,Maintenance and Repair,1.6521088740209594e-06
RWA,Wholesale Trade,7.741376981462827e-06
RWA,Retail Trade,3.916867887886631e-06
RWA,Hotels and Restraurants,3.3761075094175544e-06
RWA,Transport,8.234397370027709e-06
RWA,Post and Telecommunications,5.812656078827771e-06
RWA,Finacial Intermediation and Business Activities,8.468385981488791e-06
RWA,Public Administration,3.22586042045816e-06
RWA,"Education, Health and Other Services",5.5251610759018245e-06
RWA,Private Households,1.0527252612103345e-06
RWA,Others,1.690203047667067e-07
RWA,Re-export & Re-import,2.535726142331633e-10
UGA,Agriculture,0.0006900504199590201
UGA,Fishing,2.6505846680369808e-05
UGA,Mining and Quarrying,2.904870080558189e-06
UGA,Food & Beverages,9.001614740262759e-06
UGA,Textiles and Wearing Apparel,4.24544710648678e-06
UGA,Wood and Paper,5.782300336171561e-06
UGA,"Petroleum, Chemical and Non-Metallic Mineral Products",7.70336851385939e-06
UGA,Metal Products,9.499621559451156e-06
UGA,Electrical and Machinery,8.556322742354957e-06
UGA,Transport Equipment,2.048400588647142e-06
UGA,Other Manufacturing,2.4674481991730784e-06
UGA,Recycling,3.892886895806324e-07
UGA,"Electricity, Gas and Water",4.94078041836663e-06
